MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS 
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mi./gal.),HWY (mi./gal.),(L) / YEAR,(kg) / YEAR
2010,CHEVROLET,COLORADO 4WD,PICKUP TRUCK,3.7,5,A4,X,12.9,9,22,31,2220,5106
2010,CHEVROLET,COLORADO 4WD,PICKUP TRUCK,5.3,8,A4,X,15.3,10.4,18,27,2620,6026
2010,CHEVROLET,COLORADO CHASSIS CAB,PICKUP TRUCK,3.7,5,A4,X,13.9,10.2,20,28,2460,5658
2010,CHEVROLET,COLORADO CHASSIS CAB 4WD,PICKUP TRUCK,3.7,5,A4,X,13.3,9.3,21,30,2300,5290
2010,CHEVROLET,COLORADO CREW CAB,PICKUP TRUCK,2.9,4,A4,X,11.5,8.1,25,35,2000,4600
2010,CHEVROLET,COLORADO CREW CAB,PICKUP TRUCK,2.9,4,M5,X,11.4,7.8,25,36,1960,4508
2010,CHEVROLET,COLORADO CREW CAB,PICKUP TRUCK,3.7,5,A4,X,12.6,8.8,22,32,2180,5014
2010,CHEVROLET,COLORADO CREW CAB,PICKUP TRUCK,5.3,8,A4,X,14.4,9.9,20,29,2480,5704
2010,CHEVROLET,COLORADO CREW CAB 4WD,PICKUP TRUCK,3.7,5,A4,X,13.3,9.3,21,30,2300,5290
2010,CHEVROLET,COLORADO CREW CAB 4WD,PICKUP TRUCK,5.3,8,A4,X,15.3,10.4,18,27,2620,6026
2010,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS6,Z,14.3,8.1,20,35,2300,5290
2010,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M6,Z,12.9,7.7,22,37,2120,4876
2010,CHEVROLET,CORVETTE Z06,TWO-SEATER,7,8,M6,Z,14.2,8.2,20,34,2300,5290
2010,CHEVROLET,CORVETTE ZR1,TWO-SEATER,6.2,8,M6,Z,15.5,10.2,18,28,2620,6026
2010,CHEVROLET,EQUINOX,SPECIAL PURPOSE,2.4,4,A6,X,9.2,6.1,31,46,1560,3588
2010,CHEVROLET,EQUINOX,SPECIAL PURPOSE,3,6,A6,X,12.4,8,23,35,2080,4784
2010,CHEVROLET,EQUINOX AWD,SPECIAL PURPOSE,2.4,4,A6,X,10.1,6.9,28,41,1740,4002
2010,CHEVROLET,EQUINOX AWD,SPECIAL PURPOSE,3,6,A6,X,12.3,8.4,23,34,2100,4830
2010,CHEVROLET,EXPRESS CARGO,LARGE VAN,4.3,6,A4,X,14.1,10,20,28,2460,5658
2010,CHEVROLET,EXPRESS CARGO,LARGE VAN,5.3,8,A4,X,16.2,11.4,17,25,2820,6486
2010,CHEVROLET,EXPRESS CARGO,LARGE VAN,5.3,8,A4,E,21.4,15.2,13,19,3720,5952
2010,CHEVROLET,EXPRESS CARGO AWD,LARGE VAN,5.3,8,A4,X,16.5,12,17,24,2900,6670
2010,CHEVROLET,EXPRESS CARGO AWD,LARGE VAN,5.3,8,A4,E,21.4,15.8,13,18,3780,6048
2010,CHEVROLET,EXPRESS CARGO CONV,LARGE VAN,5.3,8,A4,X,16.8,11.9,17,24,2920,6716
2010,CHEVROLET,EXPRESS CARGO CONV,LARGE VAN,5.3,8,A4,E,21.8,15.9,13,18,3820,6112
2010,CHEVROLET,EXPRESS CARGO CONV AWD,LARGE VAN,5.3,8,A4,X,16.5,12.1,17,23,2900,6670
2010,CHEVROLET,EXPRESS CARGO CONV AWD,LARGE VAN,5.3,8,A4,E,23.1,16.6,12,17,4040,6464
2010,CHEVROLET,EXPRESS PASSENGER,LARGE VAN,5.3,8,A4,X,16.8,11.9,17,24,2920,6716
2010,CHEVROLET,EXPRESS PASSENGER,LARGE VAN,5.3,8,A4,E,21.8,15.9,13,18,3820,6112
2010,CHEVROLET,EXPRESS PASSENGER AWD,LARGE VAN,5.3,8,A4,X,16.5,12.1,17,23,2900,6670
2010,CHEVROLET,EXPRESS PASSENGER AWD,LARGE VAN,5.3,8,A4,E,23.1,16.6,12,17,4040,6464
2010,CHEVROLET,HHR,SPECIAL PURPOSE,2.2,4,A4,X,9.6,6.5,29,43,1640,3772
2010,CHEVROLET,HHR,SPECIAL PURPOSE,2.2,4,A4,E,13.2,9,21,31,2260,3616
2010,CHEVROLET,HHR,SPECIAL PURPOSE,2.2,4,M5,X,9.2,6.1,31,46,1560,3588
2010,CHEVROLET,HHR,SPECIAL PURPOSE,2.2,4,M5,E,12.6,8.6,22,33,2160,3456
2010,CHEVROLET,HHR,SPECIAL PURPOSE,2.4,4,A4,Z,9.5,6.7,30,42,1640,3772
2010,CHEVROLET,HHR,SPECIAL PURPOSE,2.4,4,A4,E,13.7,9.4,21,30,2340,3744
2010,CHEVROLET,HHR,SPECIAL PURPOSE,2.4,4,M5,Z,9.5,6.6,30,43,1640,3772
2010,CHEVROLET,HHR,SPECIAL PURPOSE,2.4,4,M5,E,12.6,8.8,22,32,2180,3488
2010,CHEVROLET,HHR PANEL,SPECIAL PURPOSE,2.2,4,A4,X,9.6,6.5,29,43,1640,3772
2010,CHEVROLET,HHR PANEL,SPECIAL PURPOSE,2.2,4,A4,E,13.2,9,21,31,2260,3616
2010,CHEVROLET,HHR PANEL,SPECIAL PURPOSE,2.2,4,M5,X,9.2,6.1,31,46,1560,3588
2010,CHEVROLET,HHR PANEL,SPECIAL PURPOSE,2.2,4,M5,E,12.6,8.6,22,33,2160,3456
2010,CHEVROLET,HHR SS,SPECIAL PURPOSE,2,4,A4,Z,10.8,6.9,26,41,1800,4140
2010,CHEVROLET,HHR SS,SPECIAL PURPOSE,2,4,M5,Z,9.8,6.8,29,42,1700,3910
2010,CHEVROLET,IMPALA,FULL-SIZE,3.5,6,A4,X,10.8,6.7,26,42,1800,4140
2010,CHEVROLET,IMPALA,FULL-SIZE,3.5,6,A4,E,14.8,9.1,19,31,2460,3936
2010,CHEVROLET,IMPALA,FULL-SIZE,3.9,6,A4,X,12,7.4,24,38,2000,4600
2010,CHEVROLET,IMPALA,FULL-SIZE,3.9,6,A4,E,16.3,10.1,17,28,2700,4320
2010,CHEVROLET,MALIBU,MID-SIZE,2.4,4,A4,X,9.5,6.5,30,43,1640,3772
2010,CHEVROLET,MALIBU,MID-SIZE,2.4,4,A4,E,13.2,8.4,21,34,2220,3552
