MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS ,,,,,,
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mi./gal.),HWY (mi./gal.),(L) / YEAR,(kg) / YEAR,,,,,,
2004,CADILLAC,CTS,MID-SIZE,3.2,6,M5,X,12.6,8.2,22,34,2124,4885,,,,,,
2004,CADILLAC,CTS,MID-SIZE,3.6,6,A5,X,13.4,7.8,21,36,2176,5005,,,,,,
2004,CADILLAC,DEVILLE,FULL-SIZE,4.6,8,A4,X,13.3,8.2,21,34,2201,5062,,,,,,
2004,CADILLAC,ESCALADE AWD,SPECIAL PURPOSE,6.0,8,A4,X,18.1,12.8,16,22,3143,7229,,,,,,
2004,CADILLAC,ESCALADE ESV AWD,SPECIAL PURPOSE,6.0,8,A4,X,18.1,12.8,16,22,3143,7229,,,,,,
2004,CADILLAC,ESCALADE EXT AWD,PICKUP TRUCK,6.0,8,A4,X,18.1,12.8,16,22,3143,7229,,,,,,
2004,CADILLAC,SEVILLE,MID-SIZE,4.6,8,A4,X,13.3,8.2,21,34,2201,5062,,,,,,
2004,CADILLAC,SRX,SPECIAL PURPOSE,3.6,6,A5,X,14.4,9.3,20,30,2421,5568,,,,,,
2004,CADILLAC,SRX,SPECIAL PURPOSE,4.6,8,A5,X,15.9,10.7,18,26,2712,6238,,,,,,
2004,CADILLAC,SRX AWD,SPECIAL PURPOSE,3.6,6,A5,X,14.8,9.7,19,29,2501,5752,,,,,,
2004,CADILLAC,SRX AWD,SPECIAL PURPOSE,4.6,8,A5,X,16.2,10.8,17,26,2754,6334,,,,,,
2004,CADILLAC,XLR,TWO-SEATER,4.6,8,AS5,X,14.2,8.7,20,32,2345,5394,,,,,,
2004,CHEVROLET,ASTRO AWD CARGO,MINIVAN,4.3,6,A4,X,17.3,12.6,16,22,3037,6985,,,,,,
2004,CHEVROLET,ASTRO AWD PASSENGER,MINIVAN,4.3,6,A4,X,17.3,12.6,16,22,3037,6985,,,,,,
2004,CHEVROLET,ASTRO CARGO,MINIVAN,4.3,6,A4,X,15.0,10.7,19,26,2613,6010,,,,,,
2004,CHEVROLET,ASTRO PASSENGER,MINIVAN,4.3,6,A4,X,16.6,11.9,17,24,2897,6663,,,,,,
2004,CHEVROLET,AVEO,COMPACT,1.6,4,A4,X,9.0,6.4,31,44,1566,3602,,,,,,
2004,CHEVROLET,AVEO,COMPACT,1.6,4,M5,X,8.8,6.1,32,46,1517,3489,,,,,,
2004,CHEVROLET,BLAZER 4X4,SPECIAL PURPOSE,4.3,6,A4,X,16.8,12.5,17,23,2973,6838,,,,,,
2004,CHEVROLET,BLAZER 4X4,SPECIAL PURPOSE,4.3,6,M5,X,17.4,12.0,16,24,2994,6886,,,,,,
2004,CHEVROLET,C1500 AVALANCHE,PICKUP TRUCK,5.3,8,A4,X,16.2,12.0,17,24,2862,6583,,,,,,
2004,CHEVROLET,C1500 AVALANCHE FFV,PICKUP TRUCK,5.3,8,A4,X,17.0,12.0,17,24,2950,6785,,,,,,
2004,CHEVROLET,C1500 AVALANCHE FFV,PICKUP TRUCK,5.3,8,A4,E,22.5,15.9,13,18,3906,6250,,,,,,
2004,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK,4.3,6,A4,X,16.6,11.9,17,24,2897,6663,,,,,,
2004,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK,4.3,6,M5,X,16.0,10.5,18,27,2705,6222,,,,,,
2004,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK,4.8,8,A4,X,14.3,11.0,20,26,2563,5895,,,,,,
2004,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK,4.8,8,M5,X,16.9,11.0,17,26,2849,6553,,,,,,
2004,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK,5.3,8,A4,X,16.2,12.0,17,24,2862,6583,,,,,,
2004,CHEVROLET,C1500 SILVERADO FFV,PICKUP TRUCK,5.3,8,A4,X,17.0,12.0,17,24,2950,6785,,,,,,
2004,CHEVROLET,C1500 SILVERADO FFV,PICKUP TRUCK,5.3,8,A4,E,22.5,15.9,13,18,3906,6250,,,,,,
2004,CHEVROLET,C1500 SUBURBAN,SPECIAL PURPOSE,5.3,8,A4,X,16.2,12.0,17,24,2862,6583,,,,,,
2004,CHEVROLET,C1500 SUBURBAN FFV,SPECIAL PURPOSE,5.3,8,A4,X,17.0,12.0,17,24,2950,6785,,,,,,
